classe;admissible;terme;commentaire;source;privilegie;page;ligne_page
1;;produits chimiques utilisés dans l'industrie;;OMPI;;6;8
1;;produits chimiques à usage industriel;;OMPI;;6;9
1;;produits chimiques pour rafraîchir le cuir;;OMPI;;6;10
1;;produits chimiques pour le nettoyage des cheminées;;OMPI;;6;11
1;;chlorure de chaux;;OMPI;;6;12
1;;carbonate de chaux;;OMPI;;6;13
1;;acétate de chaux;;OMPI;;6;14
1;;mastics pour articles chaussants;;OMPI;;6;15
1;;produits pour économiser le charbon;;OMPI;;6;16
1;;charbon de sang;;OMPI;;6;17
1;;charbon d'os;;OMPI;;6;18
1;;charbon pour filtres;;OMPI;;6;19
1;;préparations de charbon animal;;OMPI;;6;20
1;;cétones;;OMPI;;6;21
1;;césium;;OMPI;;6;22
1;;sels de métaux des terres rares;;OMPI;;6;23
1;;cérium;;OMPI;;6;24
1;;glaçures pour la céramique;;OMPI;;6;25
1;;centurium;;OMPI;;6;26
1;;centurium (fermium);;OMPI;;6;27
1;;fermium;;OMPI;;6;28
1;;fermium (centurium);;OMPI;;6;29
1;;ciment (métallurgie);;OMPI;;6;30
1;;céments;;OMPI;;6;31
1;;viscose;;OMPI;;6;32
1;;pâte à papier;;OMPI;;6;33
1;;cellulose;;OMPI;;6;34
1;;catalyseurs chimiques;;OMPI;;6;35
1;;cassiopeium;;OMPI;;6;36
1;;cassiopeium (lutécium);;OMPI;;6;37
1;;lutécium;;OMPI;;6;38
1;;lutécium (cassiopeium);;OMPI;;6;39
1;;carbure de calcium;;OMPI;;6;40
1;;carbures;;OMPI;;6;41
1;;acide carbonique;;OMPI;;6;42
1;;carbone;;OMPI;;6;43
1;;carbonate de magnésie;;OMPI;;6;44
1;;carbonates;;OMPI;;6;45
1;;produits pour la conservation du caoutchouc;;OMPI;;6;46
1;;plastifiants;;OMPI;;6;47
1;;californium;;OMPI;;6;48
1;;cyanamide calcique (engrais);;OMPI;;6;49
1;;cyanamide de calcium (engrais);;OMPI;;6;50
